Outlet_Identifier,Item_Identifier
OUT018,FDZ20
OUT013,FDJ53
OUT049,FDX13
OUT035,FDP58
OUT019,NCK31
OUT018,FDA35
OUT018,FDV37
OUT027,NCO07
OUT045,FDA20
OUT035,FDZ59
OUT017,NCY17
OUT035,FDQ28
OUT017,FDV35
OUT013,FDQ36
OUT018,FDD34
OUT045,FDK51
OUT035,FDV31
OUT035,FDR04
OUT049,FDR14
OUT010,DRC36
OUT019,FDE39
OUT049,FDP57
OUT046,FDE57
OUT046,NCN18
OUT018,NCQ05
OUT035,FDW47
OUT035,FDV46
OUT045,NCP29
OUT018,FDE09
OUT027,NCU06
OUT010,FDT19
OUT017,DRF15
OUT013,DRI51
OUT013,NCX54
OUT013,DRE01
OUT045,NCB07
OUT035,FDU50
OUT035,FDG40
OUT018,FDW10
OUT013,FDX51
OUT045,NCP17
OUT035,FDP21
OUT045,FDL04
OUT013,FDV23
OUT046,FDF24
OUT027,FDH56
OUT049,FDB51
OUT027,FDI58
OUT013,FDR20
OUT018,FDC51
OUT027,FDB16
OUT049,FDE40
OUT035,NCM17
OUT035,FDU56
OUT019,FDS32
OUT049,FDX02
OUT027,FDT39
OUT017,FDE35
OUT019,NCI42
OUT046,DRL23
OUT046,FDA10
OUT013,FDA11
OUT046,NCM06
OUT035,NCT05
OUT010,NCQ02
OUT049,NCY06
OUT035,FDY56
OUT035,FDL02
OUT035,NCI06
OUT045,FDQ14
OUT017,FDQ12
OUT046,FDP36
OUT027,FDK21
OUT045,FDO40
OUT019,NCK54
OUT018,FDY09
OUT049,NCW30
OUT027,NCC55
OUT018,FDE58
OUT013,FDR39
OUT049,FDU28
OUT017,FDH08
OUT045,FDG35
OUT049,FDG22
OUT035,FDC34
OUT018,FDP15
OUT010,FDK34
OUT035,FDU45
OUT027,FDQ04
OUT018,FDX22
OUT017,FDB45
OUT027,NCH43
OUT046,DRE60
OUT027,FDD17
OUT017,NCM54
OUT013,NCH55
OUT017,NCT06
OUT027,FDA48
OUT027,FDY58
OUT045,FDO25
OUT045,FDN50
OUT035,FDH35
OUT045,FDK09
OUT013,FDO16
OUT045,FDW11
OUT027,FDU47
OUT010,NCQ42
OUT027,FDK55
OUT049,FDN08
OUT045,FDT57
OUT018,FDJ12
OUT017,DRL59
OUT046,NCN53
OUT010,FDO51
OUT017,FDK56
OUT035,FDY12
OUT035,FDU15
OUT046,FDQ19
OUT045,DRF15
OUT019,DRE25
OUT018,FDK57
OUT010,FDD33
OUT027,FDR34
OUT045,FDU04
OUT019,FDE35
OUT035,NCD31
OUT035,FDJ56
OUT046,NCU53
OUT035,FDD39
OUT019,NCU17
OUT046,FDJ20
OUT018,NCW41
OUT035,FDL52
OUT035,FDS39
OUT045,DRJ47
OUT010,FDP13
OUT010,DRK39
OUT010,FDF28
OUT045,FDB09
OUT046,FDM51
OUT018,DRM49
OUT013,DRF23
OUT035,DRH01
OUT027,FDH12
OUT019,FDA28
OUT018,FDW37
OUT046,FDF02
OUT046,DRL37
OUT046,NCF43
OUT010,FDH08
OUT019,FDR34
OUT049,NCK19
OUT018,NCD55
OUT049,FDT27
OUT045,FDQ57
OUT035,FDA47
OUT027,DRG15
OUT018,FDE05
OUT046,FDN46
OUT027,FDX27
OUT045,FDT51
OUT013,FDU33
OUT027,FDJ16
OUT019,FDD20
OUT049,FDT36
OUT027,DRF15
OUT010,FDN52
OUT027,FDC22
OUT045,FDX15
OUT013,FDT13
OUT017,FDU04
OUT019,FDU31
OUT027,FDW59
OUT046,NCO29
OUT035,FDL15
OUT049,FDI41
OUT049,FDQ48
OUT013,DRI39
OUT013,FDI08
OUT049,FDC21
OUT035,FDF58
OUT010,FDS08
OUT045,FDE47
OUT019,NCP18
OUT013,NCR41
OUT013,FDA27
OUT035,FDA43
OUT045,FDA49
OUT018,NCE55
OUT027,DRM49
OUT027,FDF22
OUT018,FDQ15
OUT017,NCS54
OUT013,NCY05
OUT046,FDR45
OUT049,FDK57
OUT010,FDF41
OUT046,FDV21
OUT046,FDD51
OUT046,FDF33
OUT046,FDA38
OUT045,FDR56
OUT017,NCN41
OUT027,FDC60
OUT045,FDB47
OUT013,DRH01
OUT046,FDW08
OUT027,FDF38
OUT017,FDY32
OUT049,FDG34
OUT019,FDG47
OUT035,NCF18
OUT019,FDL39
OUT035,NCH55
OUT049,DRJ35
OUT035,FDS44
OUT018,DRE01
OUT013,FDY39
OUT018,FDY32
OUT027,FDR33
OUT049,NCP50
OUT018,FDZ47
OUT049,FDU57
OUT013,FDY44
OUT018,DRH59
OUT027,FDB03
OUT045,FDY46
OUT045,FDM39
OUT035,FDY36
OUT035,NCM55
OUT010,FDJ50
OUT013,DRL60
OUT049,NCJ54
OUT017,FDX59
OUT013,FDI07
OUT010,DRF51
OUT017,FDM14
OUT045,FDP21
OUT035,FDE40
OUT035,FDE05
OUT027,FDM13
OUT027,FDC34
OUT018,NCI55
OUT018,NCE43
OUT018,FDW58
OUT045,FDG60
OUT017,FDV31
OUT013,FDR47
OUT019,FDM60
OUT018,NCF06
OUT027,NCN26
OUT049,FDQ59
OUT046,FDF09
OUT017,NCS06
OUT046,FDT44
OUT017,FDI19
OUT017,FDT22
OUT027,NCF54
OUT045,DRG25
OUT017,FDB59
OUT017,FDQ37
OUT035,FDP56
OUT035,FDW44
OUT010,FDJ26
OUT018,FDU43
OUT045,FDW33
OUT027,NCX53
OUT010,FDN56
OUT049,DRF15
OUT017,FDO33
OUT010,FDZ39
OUT017,NCJ19
OUT035,FDU01
OUT035,FDT12
OUT018,NCM18
OUT017,FDP19
OUT049,NCR42
OUT046,FDN10
OUT017,FDG44
OUT046,FDQ10
OUT049,DRH13
OUT013,FDT52
OUT045,FDM56
OUT010,NCO43
OUT035,NCV29
OUT013,NCF06
OUT035,FDO50
OUT013,FDT59
OUT027,FDX40
OUT017,FDE50
OUT017,FDX51
OUT018,NCD30
OUT013,FDK15
OUT045,FDL12
OUT017,FDK46
OUT010,DRH49
OUT046,FDQ57
OUT017,FDY59
OUT018,FDO09
OUT035,NCG30
OUT017,FDM09
OUT027,NCN17
OUT013,NCS42
OUT019,FDD02
OUT013,FDE34
OUT045,FDU38
OUT046,FDB33
OUT017,NCJ29
OUT035,FDZ27
OUT013,FDI40
OUT013,FDG22
OUT017,FDT51
OUT018,FDF20
OUT035,FDV50
OUT049,FDT02
OUT017,DRC49
OUT049,FDF26
OUT035,FDV52
OUT049,FDX59
OUT035,FDV25
OUT027,FDW23
OUT018,FDE53
OUT017,FDA19
OUT046,FDH22
OUT013,NCO41
OUT017,FDX12
OUT013,FDF17
OUT045,FDS11
OUT035,FDR51
OUT010,FDT49
OUT013,FDC56
OUT027,FDR13
OUT035,FDQ60
OUT049,FDN38
OUT013,NCL29
OUT027,FDO13
OUT018,FDE26
OUT010,FDA31
OUT035,FDX14
OUT045,FDA34
OUT013,FDF26
OUT045,FDE38
OUT046,DRI11
OUT027,FDQ60
OUT027,FDL21
OUT027,DRC12
OUT046,FDC47
OUT045,FDE57
OUT045,FDT14
OUT046,NCZ53
OUT018,FDE28
OUT035,FDR19
OUT019,NCF54
OUT046,FDZ08
OUT018,NCJ05
OUT046,FDF59
OUT035,NCO05
OUT018,FDW24
OUT018,NCX42
OUT035,NCA53
OUT019,FDI45
OUT046,FDG46
OUT010,FDM20
OUT010,FDW11
OUT035,FDX08
OUT035,NCK17
OUT018,FDK32
OUT035,NCA42
OUT035,DRI01
OUT049,NCL55
OUT018,DRE25
OUT017,FDD14
OUT046,FDB10
OUT035,DRN11
OUT018,FDP38
OUT017,NCA30
OUT017,FDT15
OUT018,NCP55
OUT035,FDF12
OUT018,FDM21
OUT035,FDX56
OUT017,FDF10
OUT045,FDT32
OUT018,FDM51
OUT018,NCR50
OUT049,FDI19
OUT017,FDX21
OUT035,FDR31
OUT013,FDY02
OUT045,NCA29
OUT046,NCX17
OUT045,FDM12
OUT027,FDI53
OUT049,NCU30
OUT027,FDC56
OUT018,FDK27
OUT017,NCK18
OUT019,FDB52
OUT027,DRG25
OUT049,FDZ13
OUT019,FDB57
OUT046,FDR40
OUT019,NCO14
OUT045,NCN19
OUT019,FDQ28
OUT018,FDO13
OUT013,FDK48
OUT018,FDU07
OUT046,FDW20
OUT010,FDV12
OUT013,FDH24
OUT049,FDV59
OUT045,FDK57
OUT027,FDL16
OUT046,NCQ17
OUT018,FDJ15
OUT049,FDX24
OUT046,FDT47
OUT049,FDT10
OUT018,FDZ37
OUT027,FDW43
OUT017,DRN36
OUT045,FDJ14
OUT013,FDA32
OUT019,FDJ38
OUT017,FDQ57
OUT019,NCQ41
OUT049,FDG56
OUT027,DRC13
OUT035,FDV55
OUT045,FDQ49
OUT010,FDE29
OUT013,FDR03
OUT049,FDD45
OUT010,FDN38
OUT046,FDT56
OUT045,FDT48
OUT049,FDU03
OUT010,FDC56
OUT027,NCO43
OUT017,FDQ27
OUT046,FDR03
OUT010,DRH23
OUT045,FDG22
OUT013,NCJ42
OUT046,FDR24
OUT035,FDW60
OUT013,FDJ08
OUT018,DRL59
OUT010,FDG60
OUT017,FDW27
OUT018,FDX14
OUT013,FDC20
OUT018,NCS29
OUT046,FDJ56
OUT019,FDB20
OUT027,FDL28
OUT018,FDW01
OUT046,FDL03
OUT049,FDX22
OUT035,FDJ21
OUT045,FDR31
OUT035,FDG21
OUT027,FDS22
OUT035,FDK08
OUT018,FDE17
OUT017,NCN30
OUT046,FDT50
OUT049,NCX42
OUT035,FDJ12
OUT027,NCA18
OUT019,FDP23
OUT013,FDX12
OUT018,FDN40
OUT035,FDV48
OUT013,NCY54
OUT010,FDL16
OUT018,FDR45
OUT046,FDJ52
OUT017,DRG01
OUT013,FDP52
OUT017,FDU58
OUT045,FDL02
OUT013,FDG28
OUT035,FDA19
OUT027,FDW46
OUT049,NCD43
OUT013,DRG39
OUT049,NCF55
OUT046,FDJ07
OUT046,FDE08
OUT019,FDP56
OUT045,FDT45
OUT018,FDF17
OUT046,FDX44
OUT027,FDM28
OUT049,FDI36
OUT045,FDS07
OUT045,FDD36
OUT046,FDW11
OUT049,FDN40
OUT049,NCQ18
OUT017,NCQ54
OUT045,NCS42
OUT010,DRH39
OUT027,FDC09
OUT010,FDT08
OUT035,FDC08
OUT017,FDT20
OUT035,FDS35
OUT018,FDX58
OUT046,FDW58
OUT046,DRD27
OUT019,FDH32
OUT035,FDS26
OUT046,FDQ31
OUT018,FDP11
OUT017,FDD58
OUT045,FDM33
OUT049,FDZ16
OUT010,NCS29
OUT019,NCM18
OUT049,FDP11
OUT017,NCC42
OUT046,DRM23
OUT027,NCN55
OUT013,FDK46
OUT046,FDR01
OUT045,NCA05
OUT017,NCP43
OUT010,FDR12
OUT013,FDQ01
OUT046,FDM13
OUT017,FDQ19
OUT019,FDK56
OUT010,NCX06
OUT027,FDO56
OUT045,FDU45
OUT019,FDI16
OUT046,FDL32
OUT046,FDA07
OUT045,FDA14
OUT027,FDV46
OUT035,NCO07
OUT046,NCP41
OUT018,FDY60
OUT017,FDN38
OUT046,FDO15
OUT013,FDT60
OUT035,FDA55
OUT010,FDE02
OUT049,DRJ39
OUT035,FDV34
OUT027,FDS20
OUT027,FDF02
OUT017,FDW40
OUT046,NCB43
OUT017,FDR58
OUT035,DRJ59
OUT017,NCD30
OUT017,FDE14
OUT018,FDC28
OUT018,FDU16
OUT035,NCD19
OUT046,FDU21
OUT027,FDV59
OUT045,FDU03
OUT010,FDC33
OUT035,NCR42
OUT035,DRH59
OUT035,NCM31
OUT035,FDS50
OUT046,FDP39
OUT013,FDQ55
OUT019,FDV36
OUT027,FDI05
OUT027,FDS45
OUT045,FDA39
OUT010,FDC37
OUT027,FDJ60
OUT046,DRQ35
OUT046,NCJ06
OUT018,NCY42
OUT049,DRM37
OUT045,FDR14
OUT049,FDE51
OUT017,FDT33
OUT013,FDR08
OUT010,FDE36
OUT019,FDL22
OUT013,FDR44
OUT019,FDI56
OUT010,FDE47
OUT010,FDV27
OUT049,FDV10
OUT045,FDC40
OUT013,NCX41
OUT027,NCQ38
OUT027,FDV12
OUT017,FDE52
OUT027,FDG20
OUT027,FDV16
OUT017,FDI32
OUT049,FDJ32
OUT018,FDN39
OUT017,FDY34
OUT035,FDC14
OUT017,FDA55
OUT010,FDZ50
OUT049,DRG13
OUT013,FDP01
OUT017,NCG54
OUT045,FDM13
OUT027,NCO18
OUT013,NCW41
OUT027,FDM52
OUT035,NCF55
OUT046,FDT09
OUT035,NCM19
OUT018,FDW12
OUT019,FDP15
OUT045,FDK36
OUT035,FDZ25
OUT049,NCW06
OUT046,FDW60
OUT013,DRC49
OUT035,NCT17
OUT018,NCN06
OUT013,FDC45
OUT019,DRJ47
OUT045,NCF06
OUT010,FDE21
OUT013,DRG27
OUT049,FDW40
OUT046,NCO53
OUT049,FDE23
OUT046,FDQ16
OUT045,FDS26
OUT010,FDZ13
OUT049,FDS14
OUT045,FDC10
OUT049,FDY16
OUT035,FDJ20
OUT035,FDV43
OUT027,FDZ32
OUT046,FDR23
OUT035,FDN24
OUT027,FDE34
OUT013,FDU31
OUT018,FDW33
OUT046,FDU26
OUT027,FDE20
OUT035,NCW05
OUT018,FDB22
OUT046,FDO56
OUT027,FDA19
OUT045,DRI39
OUT018,FDH52
OUT035,FDZ50
OUT035,NCN42
OUT013,FDB53
OUT017,DRG11
OUT027,DRK11
OUT017,FDQ60
OUT017,FDT36
OUT018,DRG25
OUT046,DRJ23
OUT035,FDG05
OUT018,NCK06
OUT017,FDU52
OUT018,FDW07
OUT045,NCM17
OUT045,FDA22
OUT018,NCA41
OUT035,FDF38
OUT046,FDH52
OUT019,FDY58
OUT045,FDZ16
OUT017,NCM18
OUT018,FDA22
OUT035,NCJ43
OUT027,FDI34
OUT046,FDG56
OUT046,FDS34
OUT035,DRC01
OUT035,FDQ04
OUT035,FDK04
OUT049,FDT51
OUT017,FDV26
OUT049,FDS04
OUT018,FDW43
OUT010,FDQ28
OUT017,NCK06
OUT018,FDS23
OUT019,FDZ36
OUT018,FDE56
OUT027,FDW10
OUT045,NCN14
OUT045,NCQ18
OUT017,FDW08
OUT035,FDU43
OUT010,FDR33
OUT010,FDM24
OUT046,NCZ05
OUT035,NCV41
OUT018,FDV11
OUT035,NCY05
OUT018,FDV44
OUT049,FDW32
OUT027,NCU18
OUT035,NCC43
OUT013,FDW19
OUT035,FDN31
OUT045,FDI48
OUT017,FDS24
OUT049,FDF46
OUT017,DRG23
OUT018,FDG14
OUT049,NCY30
OUT018,FDO28
OUT035,DRD24
OUT049,FDI33
OUT046,FDN32
OUT045,FDR16
OUT046,FDF26
OUT018,NCN29
OUT045,FDE20
OUT046,FDA46
OUT045,FDU28
OUT045,FDQ48
OUT013,FDV36
OUT018,FDR14
OUT017,FDP23
OUT013,FDP56
OUT010,FDK48
OUT046,FDR48
OUT049,NCY29
OUT018,FDM22
OUT013,DRJ01
OUT045,FDZ43
OUT035,FDV03
OUT027,FDX11
OUT027,NCA41
OUT017,FDE38
OUT018,FDI27
OUT013,FDN32
OUT017,NCN43
OUT027,FDB47
OUT017,FDV03
OUT045,NCN30
OUT010,NCV54
OUT013,FDV07
OUT049,FDP07
OUT018,FDK48
OUT019,FDM15
OUT027,FDY19
OUT046,FDK46
OUT045,FDY11
OUT046,FDH09
OUT027,FDO08
OUT013,FDU14
OUT027,FDD22
OUT017,FDM27
OUT027,FDL02
OUT035,NCA17
OUT019,FDE38
OUT049,NCG07
OUT013,DRC27
OUT035,FDA27
OUT045,FDW40
OUT013,DRI11
OUT046,FDN50
OUT046,FDR12
OUT027,FDT34
OUT035,FDW11
OUT027,NCO30
OUT017,FDZ34
OUT017,FDU45
OUT035,NCD42
OUT045,FDX25
OUT046,NCR29
OUT019,FDX43
OUT010,FDB04
OUT027,FDR49
OUT018,FDS39
OUT045,FDW58
OUT019,FDG22
OUT017,FDG31
OUT027,NCV53
OUT035,DRJ37
OUT035,FDV07
OUT018,FDW52
OUT045,FDT15
OUT018,FDD02
OUT035,FDM16
OUT046,NCE55
OUT018,FDB57
OUT013,FDQ04
OUT019,FDQ47
OUT019,FDY14
OUT017,DRK37
OUT017,FDO25
OUT046,FDL57
OUT018,NCK29
OUT027,FDK46
OUT010,NCB43
OUT027,DRE01
OUT018,FDC46
OUT045,FDQ23
OUT049,FDX38
OUT018,FDG60
OUT017,FDW55
OUT013,FDP39
OUT018,FDB20
OUT017,FDV21
OUT013,FDZ02
OUT027,FDP19
OUT035,FDA38
OUT045,FDH22
OUT045,DRM11
OUT027,FDO12
OUT049,FDT14
OUT010,FDW34
OUT027,FDG04
OUT018,FDW59
OUT018,FDR33
OUT013,FDP32
OUT027,FDL13
OUT013,FDD22
OUT027,FDV40
OUT046,NCD55
OUT010,FDQ20
OUT045,FDD28
OUT045,FDC39
OUT049,NCR17
OUT018,DRO35
OUT049,FDF40
OUT018,FDR31
OUT017,NCQ41
OUT046,FDP38
OUT027,NCU54
OUT018,FDG22
OUT013,DRK59
OUT046,FDC37
OUT013,NCO42
OUT017,NCT42
OUT035,FDX27
OUT018,FDV40
OUT027,FDT45
OUT019,FDS47
OUT035,FDR45
OUT045,FDB03
OUT035,FDO49
OUT027,FDU60
OUT018,FDB26
OUT017,FDB46
OUT019,FDQ37
OUT017,FDN03
OUT045,NCX30
OUT019,FDK32
OUT013,DRM47
OUT046,NCO02
OUT013,FDP04
OUT049,NCO43
OUT013,FDD59
OUT017,FDQ10
OUT035,FDW45
OUT049,NCK30
OUT018,FDU31
OUT019,NCQ17
OUT017,FDN01
OUT049,FDZ19
OUT017,DRG37
OUT045,FDE32
OUT049,FDO34
OUT019,FDM04
OUT049,FDZ25
OUT049,FDU08
OUT045,NCW30
OUT013,NCM18
OUT035,FDS22
OUT017,NCH18
OUT013,FDC23
OUT013,FDY46
OUT046,NCU06
OUT045,FDX57
OUT027,FDX36
OUT045,FDL16
OUT010,FDT16
OUT018,FDN16
OUT046,FDC03
OUT013,DRF60
OUT027,FDS27
OUT010,FDP33
OUT018,FDJ36
OUT013,NCR42
OUT017,FDV14
OUT035,NCP42
OUT027,FDB50
OUT027,NCC30
OUT018,FDA23
OUT017,FDW16
OUT010,FDQ52
OUT049,FDB58
OUT049,NCP29
OUT045,NCM05
OUT013,FDO25
OUT046,NCM54
OUT046,NCL54
OUT010,FDL39
OUT018,FDF53
OUT035,NCQ42
OUT013,FDF58
OUT035,FDZ04
OUT019,FDE26
OUT017,FDS60
OUT017,FDV58
OUT045,FDM04
OUT035,FDE08
OUT049,NCB43
OUT010,FDU11
OUT019,FDF22
OUT013,FDE24
OUT046,DRJ49
OUT035,NCQ53
OUT013,NCL41
OUT013,FDR22
OUT035,FDH04
OUT045,DRH15
OUT049,FDY40
OUT035,NCI17
OUT013,NCC18
OUT027,FDY28
OUT027,FDB45
OUT018,NCL30
OUT017,FDM10
OUT027,FDH22
OUT017,NCZ53
OUT013,NCI18
OUT027,FDH14
OUT027,FDR36
OUT045,FDW01
OUT027,FDK02
OUT018,FDJ02
OUT013,FDU55
OUT027,NCV18
OUT018,FDH14
OUT045,FDZ37
OUT049,FDX49
OUT046,NCD43
OUT013,FDZ07
OUT035,FDK43
OUT018,FDR32
OUT013,FDT39
OUT017,NCV54
OUT018,FDF38
OUT046,FDV60
OUT027,FDH44
OUT046,FDS21
OUT045,NCL41
OUT017,FDM46
OUT045,FDU27
OUT017,NCJ54
OUT018,DRG51
OUT019,NCA29
OUT045,FDR47
OUT027,NCL19
OUT049,DRG01
OUT046,FDG10
OUT049,NCV05
OUT019,NCH18
OUT018,FDV14
OUT035,DRJ23
OUT046,DRJ11
OUT017,FDZ03
OUT010,FDI27
OUT018,FDJ14
OUT017,FDU32
OUT027,FDD47
OUT035,DRF36
OUT046,FDM21
OUT018,FDV10
OUT018,FDH60
OUT010,FDX47
OUT019,FDT19
OUT045,FDO11
OUT027,FDH24
OUT018,FDL02
OUT049,FDB02
OUT046,FDA43
OUT045,FDG52
OUT013,DRC12
OUT018,FDY37
OUT045,NCU18
OUT035,FDU09
OUT027,DRJ25
OUT018,DRE12
OUT017,DRL47
OUT046,DRK01
OUT019,FDC22
OUT013,FDG44
OUT035,FDW04
OUT049,FDK09
OUT035,NCN43
OUT049,FDG04
OUT010,FDH32
OUT017,DRI47
OUT013,DRE15
OUT035,FDY11
OUT049,FDO60
OUT018,FDQ20
OUT027,FDO57
OUT019,FDT14
OUT049,FDA57
OUT017,DRN35
OUT046,FDJ03
OUT017,FDX28
OUT045,DRE25
OUT046,FDR09
OUT035,FDB23
OUT045,FDO08
OUT049,FDQ23
OUT013,FDW04
OUT010,DRK13
OUT027,NCL17
OUT035,FDY21
OUT027,FDJ38
OUT019,FDA37
OUT013,FDV43
OUT046,FDL36
OUT045,FDD53
OUT010,FDZ19
OUT045,FDV21
OUT018,NCL54
OUT027,DRI47
OUT049,DRG03
OUT013,FDG21
OUT018,FDW03
OUT046,NCI55
OUT019,DRC36
OUT017,FDH22
OUT045,FDV20
OUT027,NCU41
OUT027,FDN46
OUT045,FDK50
OUT027,NCA05
OUT018,DRH01
OUT018,FDT08
OUT018,FDM08
OUT035,FDZ07
OUT017,FDS22
OUT027,FDV35
OUT010,FDI28
OUT027,FDW58
OUT045,FDT52
OUT046,FDY34
OUT046,FDR10
OUT017,FDK57
OUT027,FDR02
OUT046,FDX49
OUT046,FDQ20
OUT045,DRK23
OUT046,NCW06
OUT017,FDR31
OUT013,NCE43
OUT027,DRO59
OUT049,FDN09
OUT046,FDR11
OUT013,FDO57
OUT017,NCX18
OUT018,FDB05
OUT018,FDQ08
OUT035,NCG43
OUT013,FDJ56
OUT010,FDA13
OUT017,FDO56
OUT018,FDB37
OUT018,FDZ02
OUT046,FDQ24
OUT013,FDM16
OUT049,FDU35
OUT035,FDT35
OUT049,NCX30
OUT017,FDG04
OUT035,FDI12
OUT035,FDE35
OUT027,NCP14
OUT045,NCY53
OUT017,FDP49
OUT017,FDQ04
OUT035,FDM39
OUT019,FDO58
OUT017,FDC56
OUT046,NCQ54
OUT027,FDV10
OUT046,NCK17
OUT027,NCF55
OUT013,FDV33
OUT019,NCH29
OUT027,FDA37
OUT018,FDH46
OUT035,FDS25
OUT027,FDH04
OUT046,FDX52
OUT017,NCD42
OUT017,FDW47
OUT027,FDL25
OUT010,NCJ06
OUT013,FDY09
OUT046,FDS40
OUT017,FDH41
OUT035,FDG38
OUT027,FDU03
OUT046,FDV20
OUT045,DRB13
OUT013,NCQ30
OUT013,NCH06
OUT018,FDU50
OUT019,NCO42
OUT018,FDW09
OUT013,FDH04
OUT045,FDC21
OUT049,FDL21
OUT010,FDM46
OUT019,FDT22
OUT035,FDB28
OUT018,FDI12
OUT045,FDA28
OUT013,FDF59
OUT027,FDM45
OUT017,FDQ56
OUT049,FDR46
OUT013,FDT01
OUT027,FDD16
OUT010,NCU30
OUT010,FDM40
OUT035,FDI56
OUT013,NCS30
OUT017,FDU08
OUT027,FDX51
OUT045,FDA43
OUT010,FDX59
OUT018,FDC37
OUT013,FDP58
OUT035,NCY42
OUT018,FDF21
OUT027,FDU10
OUT018,DRL47
OUT018,FDA58
OUT049,FDJ22
OUT046,FDK50
OUT035,FDO38
OUT035,DRF60
OUT019,NCZ42
OUT049,FDD35
OUT045,FDL25
OUT013,FDJ16
OUT049,DRK59
OUT046,FDI50
OUT045,NCB19
OUT035,DRI37
OUT027,FDA14
OUT018,FDC08
OUT046,FDS45
OUT049,FDI21
OUT035,DRJ47
OUT027,DRE37
OUT018,FDT55
OUT027,NCG42
OUT049,FDA31
OUT046,NCW42
OUT017,FDF50
OUT049,FDK56
OUT035,FDX10
OUT027,NCK07
OUT017,FDZ49
OUT013,FDR33
OUT018,FDO44
OUT046,FDA20
OUT045,NCL30
OUT019,FDI05
OUT018,FDQ12
OUT017,FDH47
OUT018,FDH34
OUT046,FDF29
OUT018,FDG40
OUT017,NCE18
OUT010,FDP21
OUT013,FDY50
OUT049,FDB36
OUT049,NCZ29
OUT018,FDU20
OUT013,FDO56
OUT049,FDW31
OUT013,DRH59
OUT017,NCB30
OUT027,FDK43
OUT045,FDW43
OUT017,NCL19
OUT046,FDJ27
OUT046,FDC45
OUT035,FDY40
OUT035,NCM41
OUT019,NCK18
OUT049,FDP37
OUT027,FDA27
OUT035,NCX30
OUT017,FDR09
OUT027,FDG08
OUT013,NCU30
OUT017,FDB16
OUT017,FDM16
OUT013,FDC48
OUT046,NCF18
OUT018,FDU46
OUT018,FDH41
OUT010,NCN42
OUT046,FDU49
OUT027,FDB20
OUT019,FDG50
OUT045,FDW20
OUT049,NCO55
OUT046,FDX48
OUT046,FDU48
OUT019,FDR48
OUT013,FDK27
OUT013,FDT35
OUT049,FDN12
OUT019,NCE31
OUT017,FDL21
OUT017,FDV56
OUT017,FDR16
OUT049,NCP41
OUT013,FDJ27
OUT017,FDA07
OUT049,FDK55
OUT049,FDM33
OUT046,FDY46
OUT046,FDD36
OUT027,FDB12
OUT019,FDF28
OUT019,NCE07
OUT027,FDW50
OUT017,NCW18
OUT019,NCJ17
OUT010,DRZ24
OUT035,FDS07
OUT010,NCW05
OUT018,FDZ22
OUT046,FDK02
OUT027,FDZ45
OUT046,FDL25
OUT045,FDS08
OUT027,NCZ42
OUT035,FDX57
OUT046,FDF21
OUT018,FDJ56
OUT013,FDX10
OUT035,DRG48
OUT046,DRN37
OUT018,NCY41
OUT045,FDN28
OUT045,FDE34
OUT045,FDR10
OUT017,FDC32
OUT046,DRG13
OUT049,FDP59
OUT010,NCT53
OUT027,FDL57
OUT010,FDN32
OUT018,FDK09
OUT010,FDA52
OUT049,FDC57
OUT035,FDI09
OUT046,NCB07
OUT035,FDP26
OUT027,FDP40
OUT013,FDL15
OUT046,FDV07
OUT017,FDS03
OUT049,FDE50
OUT017,FDQ15
OUT010,FDQ33
OUT013,FDT22
OUT035,DRO35
OUT049,FDJ41
OUT035,FDQ27
OUT017,FDC26
OUT027,NCF43
OUT035,NCR50
OUT018,FDE39
OUT027,FDN49
OUT035,DRG11
OUT049,NCA18
OUT018,FDM36
OUT017,FDW32
OUT010,NCQ18
OUT027,FDX14
OUT017,FDD46
OUT019,FDI34
OUT035,NCJ17
OUT035,FDB52
OUT018,FDV55
OUT046,FDC57
OUT046,FDB29
OUT035,NCO43
OUT045,FDG44
OUT045,FDJ34
OUT049,FDH40
OUT027,NCD07
OUT017,FDB41
OUT018,FDH47
OUT035,DRK37
OUT019,FDM25
OUT045,NCX06
OUT017,NCS05
OUT045,FDS39
OUT027,FDC47
OUT013,FDG20
OUT017,DRL23
OUT013,FDY33
OUT045,NCH18
OUT035,FDX47
OUT045,NCB06
OUT049,FDP36
OUT018,FDW44
OUT018,NCU41
OUT046,NCS17
OUT035,FDD46
OUT017,FDE45
OUT017,FDI09
OUT010,NCJ54
OUT018,NCA29
OUT027,NCN41
OUT035,FDY34
OUT035,NCG55
OUT046,DRM49
OUT049,NCB42
OUT045,FDE58
OUT013,DRJ25
OUT010,FDS47
OUT049,FDY21
OUT013,NCI54
OUT017,FDO24
OUT035,FDY43
OUT018,FDF35
OUT019,NCP29
OUT027,FDN28
OUT018,FDJ50
OUT027,FDQ14
OUT035,FDC37
OUT046,FDN08
OUT035,FDD04
OUT018,FDW34
OUT017,FDP04
OUT017,NCG07
OUT018,NCN14
OUT045,FDJ16
OUT045,NCM42
OUT046,NCF19
OUT018,FDY21
OUT035,FDY19
OUT045,FDV09
OUT013,FDA28
OUT018,FDC38
OUT045,FDL28
OUT049,NCH43
OUT045,NCN53
OUT017,NCW05
OUT018,NCO30
OUT019,FDT04
OUT018,FDB27
OUT013,NCK07
OUT013,NCA53
OUT018,FDB33
OUT017,FDU37
OUT035,FDR13
OUT049,FDE45
OUT017,FDV37
OUT019,FDX44
OUT017,NCL06
